Kurzbezeichnung,Name
AfD,Alternative für Deutschland
B*,"bergpartei, die überpartei"
BGE,Bündnis Grundeinkommen
BP,Bayernpartei
BüSo,Bürgerrechtsbewegung Solidarität
CDU,Christlich Demokratische Union Deutschlands
CSU,Christlich-Soziale Union in Bayern e.V.
DiB,DEMOKRATIE IN BEWEGUNG
Die Grauen,Die Grauen – Für alle Generationen
Die Humanisten,Partei der Humanisten
DIE LINKE,DIE LINKE
Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative"
DIE RECHTE,DIE RECHTE
DKP,Deutsche Kommunistische Partei
DM,Deutsche Mitte
du.,Die Urbane. Eine HipHop Partei
FDP,Freie Demokratische Partei
FREIE WÄHLER,FREIE WÄHLER
Gesundheitsforschung,Partei für Gesundheitsforschung
GRÜNE,BÜNDNIS 90/DIE GRÜNEN
MENSCHLICHE WELT,Menschliche Welt
MG,Magdeburger Gartenpartei
MLPD,Marxistisch-Leninistische Partei Deutschlands
NPD,Nationaldemokratische Partei Deutschlands
ÖDP,Ökologisch-Demokratische Partei
PDV,Partei der Vernunft
PIRATEN,Piratenpartei Deutschland
SGP,"Sozialistische Gleichheitspartei, Vierte Internationale"
SPD,Sozialdemokratische Partei Deutschlands
Tierschutzallianz,"Allianz für Menschenrechte, Tier- und Naturschutz"
Tierschutzpartei,PARTEI MENSCH UMWELT TIERSCHUTZ
V-Partei³,"V-Partei³ - Partei für Veränderung, Vegetarier und Veganer"
Volksabstimmung,Ab jetzt…Demokratie durch Volksabstimmung
,Allianz Deutscher Demokraten
