"Wahlkreisnummer","Wahlkreisname","Stadtteilnummer","Stadtteilname","Wahlbezirksnummer","Wahlbezirksname","Wahlberechtigte insgesamt","Wahlberechtigte mit Wahlschein","Wähler/-innen","Gültige Erststimmen","Wellenreuther,Ingo (CDU)","Marvi,Parsa (SPD)","Golombeck,Heinz (FDP)","Kotting-Uhl,Sylvia (GRÜNE)","Binder,Karin (DIE LINKE)","Bartsch,Martin (PIRATEN)","Köhler,Heiko (NPD)","Haag,Rainer (REP)","Dr. Jongen,Marc (AfD)","Rapp, Peter (FREIE WÄHLER)","Gültige Zweitstimmen","CDU","SPD","FDP","GRÜNE","DIE LINKE","PIRATEN","NPD","REP","Tierschutzpartei","ÖDP","PBC","Volksabstimmung","MLPD","BüSo","AfD","BIG","pro Deutschland","FREIE WÄHLER","PARTEI DER VERNUNFT","RENTNER"
271,"Karlsruhe-Stadt","1","Innenstadt-Ost","001-01","Universität/Marktplatz",1367,357,585,577,201,183,11,71,42,35,2,4,22,6,575,165,148,36,67,57,50,1,1,6,1,1,1,0,0,35,0,0,4,1,1
271,"Karlsruhe-Stadt","1","Innenstadt-Ost","001-02","Lidellplatz",1133,275,563,544,211,148,13,63,43,31,1,1,26,7,548,183,94,42,93,49,33,1,0,5,3,2,0,1,0,35,0,1,4,2,0
271,"Karlsruhe-Stadt","1","Innenstadt-Ost","001-03","Östliche Altstadt",1374,323,587,579,190,179,9,100,60,25,0,1,13,2,581,172,131,24,114,52,42,1,1,4,3,1,3,0,1,27,0,1,2,1,1
271,"Karlsruhe-Stadt","2","Innenstadt-West","002-01","St. Stephans-Kirche",924,258,439,436,146,134,11,70,29,21,0,2,19,4,438,141,84,28,76,34,29,0,0,4,2,0,0,1,0,34,0,0,2,2,1
271,"Karlsruhe-Stadt","2","Innenstadt-West","002-02","Münze",1177,323,526,526,189,143,25,92,31,21,2,0,23,0,525,186,105,26,86,46,36,1,0,1,4,0,0,1,0,31,0,0,1,1,0
271,"Karlsruhe-Stadt","2","Innenstadt-West","002-03","Südwestl. Päd. Hochsch.",1158,370,499,492,162,165,22,94,21,14,0,1,11,2,497,160,122,38,84,24,34,0,0,2,4,4,1,0,0,21,0,0,2,0,1
271,"Karlsruhe-Stadt","2","Innenstadt-West","002-04","Zw. Belfort- u. Kriegsstr.",1465,375,718,713,225,219,11,129,48,44,1,2,29,5,713,207,142,36,152,57,50,3,2,5,3,4,1,1,0,42,1,0,5,1,1
271,"Karlsruhe-Stadt","2","Innenstadt-West","002-05","Leopoldplatz",1519,411,680,674,220,198,18,117,42,41,1,1,29,7,675,213,130,45,132,51,52,3,1,1,4,0,0,0,0,34,4,0,4,1,0
271,"Karlsruhe-Stadt","3","Südstadt","003-01","Südl. Staatstheater",1153,262,547,536,131,197,14,90,57,26,3,0,12,6,541,116,129,25,128,64,43,1,0,6,3,0,0,1,0,21,2,0,1,1,0
271,"Karlsruhe-Stadt","3","Südstadt","003-02","Nördl. Werderplatz",1113,279,552,542,123,220,6,99,48,21,1,1,16,7,545,127,147,23,112,67,36,1,0,0,3,0,0,2,0,22,0,0,4,1,0
