"Kurzbezeichnung","Name"
"AfD","Alternative für Deutschland"
"B","Bergpartei, die ""ÜberPartei"""
"BGD","Bund für Gesamtdeutschland"
"BIG","Bündnis für Innovation & Gerechtigkeit"
"BP","Bayernpartei"
"Bündnis 21/RRP","Bündnis 21/RRP"
"BüSo","Bürgerrechtsbewegung Solidarität"
"CDU","Christlich Demokratische Union Deutschlands"
"CSU","Christlich-Soziale Union in Bayern e.V."
"DIE FRAUEN","Feministische Partei DIE FRAUEN"
"DIE LINKE","DIE LINKE"
"Die PARTEI","Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative"
"DIE VIOLETTEN","Die Violetten"
"DKP","Deutsche Kommunistische Partei"
"FAMILIE","Familien-Partei Deutschlands"
"FDP","Freie Demokratische Partei"
"FREIE WÄHLER","FREIE WÄHLER"
"GRÜNE","BÜNDNIS 90/DIE GRÜNEN"
"MLPD","Marxistisch-Leninistische Partei Deutschlands"
"NEIN!","NEIN!-Idee"
"NPD","Nationaldemokratische Partei Deutschlands"
"ÖDP","Ökologisch-Demokratische Partei"
"PBC","Partei Bibeltreuer Christen"
"PIRATEN","Piratenpartei Deutschland"
"pro Deutschland","Bürgerbewegung pro Deutschland"
"PSG","Partei für Soziale Gleichheit, Sektion der Vierten Internationale"
"RENTNER","RENTNER Partei Deutschland"
"REP","DIE REPUBLIKANER"
"SPD","Sozialdemokratische Partei Deutschlands"
"Tierschutzpartei","PARTEI MENSCH UMWELT TIERSCHUTZ"
"VERNUNFT","Partei der Vernunft"
"Volksabstimmung","Ab jetzt…Demokratie durch Volksabstimmung"
,"DIE RECHTE"
,"Partei der Nichtwähler"
